ID,Nome,Preço,Quantidade em Estoque
10945,Produto 10945,297.02,45
10946,Produto 10946,716.94,57
10947,Produto 10947,914.37,49
10948,Produto 10948,587.08,47
10949,Produto 10949,991.03,7
10950,Produto 10950,969.42,72
10951,Produto 10951,796.71,12
10952,Produto 10952,479.69,70
10953,Produto 10953,985.58,7
10954,Produto 10954,344.17,66
10955,Produto 10955,586.0,84
10956,Produto 10956,512.03,19
10957,Produto 10957,589.26,8
10958,Produto 10958,86.04,85
10959,Produto 10959,406.17,53
10960,Produto 10960,942.08,29
10961,Produto 10961,173.72,96
10962,Produto 10962,598.88,69
10963,Produto 10963,131.94,92
10964,Produto 10964,925.34,27
10965,Produto 10965,58.81,88
10966,Produto 10966,113.76,21
10967,Produto 10967,433.28,56
10968,Produto 10968,531.31,35
10969,Produto 10969,517.49,28
10970,Produto 10970,229.31,11
10971,Produto 10971,983.81,70
10972,Produto 10972,624.15,45
10973,Produto 10973,519.76,10
10974,Produto 10974,298.03,37
10975,Produto 10975,825.74,88
10976,Produto 10976,107.6,63
10977,Produto 10977,967.27,53
10978,Produto 10978,686.67,78
10979,Produto 10979,445.98,83
10980,Produto 10980,948.84,45
10981,Produto 10981,847.7,37
10982,Produto 10982,550.82,76
10983,Produto 10983,560.03,82
10984,Produto 10984,653.9,4
10985,Produto 10985,860.48,76
10986,Produto 10986,981.59,75
10987,Produto 10987,565.24,94
10988,Produto 10988,686.97,78
10989,Produto 10989,926.07,51
10990,Produto 10990,308.27,34
10991,Produto 10991,67.71,69
10992,Produto 10992,721.81,74
10993,Produto 10993,452.04,64
10994,Produto 10994,995.25,71
10995,Produto 10995,6.32,2
10996,Produto 10996,724.72,54
10997,Produto 10997,378.17,17
10998,Produto 10998,270.41,5
10999,Produto 10999,221.06,40
11000,Produto 11000,336.78,8
11001,Produto 11001,894.31,77
11002,Produto 11002,545.58,50
11003,Produto 11003,960.85,24
11004,Produto 11004,399.55,49
11005,Produto 11005,745.28,93
11006,Produto 11006,240.98,16
11007,Produto 11007,202.33,87
11008,Produto 11008,844.61,87
11009,Produto 11009,615.05,62
11010,Produto 11010,284.32,82
11011,Produto 11011,797.41,36
11012,Produto 11012,218.91,76
11013,Produto 11013,853.47,1
11014,Produto 11014,3.03,60
11015,Produto 11015,707.67,38
11016,Produto 11016,357.26,76
11017,Produto 11017,632.65,99
11018,Produto 11018,175.88,91
11019,Produto 11019,477.47,71
11020,Produto 11020,732.54,63
11021,Produto 11021,654.42,41
11022,Produto 11022,634.2,69
11023,Produto 11023,998.96,55
11024,Produto 11024,373.4,9
11025,Produto 11025,43.22,94
11026,Produto 11026,917.43,54
11027,Produto 11027,961.99,4
11028,Produto 11028,253.66,7
11029,Produto 11029,870.18,93
11030,Produto 11030,941.15,91
11031,Produto 11031,283.86,12
11032,Produto 11032,595.39,84
11033,Produto 11033,965.2,18
11034,Produto 11034,389.96,90
11035,Produto 11035,214.87,49
11036,Produto 11036,893.27,9
11037,Produto 11037,228.56,56
11038,Produto 11038,102.1,90
11039,Produto 11039,277.14,82
11040,Produto 11040,352.13,49
11041,Produto 11041,816.07,15
11042,Produto 11042,74.68,50
11043,Produto 11043,659.56,32
11044,Produto 11044,669.69,69
11045,Produto 11045,9.81,24
11046,Produto 11046,963.09,8
11047,Produto 11047,134.4,57
11048,Produto 11048,628.35,71
11049,Produto 11049,754.61,4
11050,Produto 11050,393.26,1
11051,Produto 11051,471.31,31
11052,Produto 11052,315.14,48
11053,Produto 11053,685.28,100
11054,Produto 11054,547.88,40
11055,Produto 11055,32.43,29
11056,Produto 11056,712.45,19
11057,Produto 11057,616.86,53
11058,Produto 11058,860.53,42
11059,Produto 11059,316.37,39
11060,Produto 11060,31.02,53
11061,Produto 11061,606.73,39
11062,Produto 11062,71.08,21
11063,Produto 11063,58.39,5
11064,Produto 11064,793.26,63
11065,Produto 11065,768.6,48
11066,Produto 11066,470.66,34
11067,Produto 11067,459.34,42
11068,Produto 11068,581.88,74
11069,Produto 11069,113.95,27
11070,Produto 11070,188.65,29
11071,Produto 11071,33.24,12
11072,Produto 11072,630.94,80
11073,Produto 11073,80.67,30
11074,Produto 11074,63.49,65
11075,Produto 11075,949.08,37
11076,Produto 11076,270.72,31
11077,Produto 11077,832.55,53
11078,Produto 11078,313.7,16
11079,Produto 11079,696.63,86
11080,Produto 11080,239.68,59
11081,Produto 11081,178.76,25
11082,Produto 11082,538.06,100
11083,Produto 11083,288.47,80
11084,Produto 11084,790.93,55
11085,Produto 11085,291.4,69
11086,Produto 11086,518.41,99
11087,Produto 11087,559.28,27
11088,Produto 11088,802.67,63
11089,Produto 11089,334.66,13
11090,Produto 11090,554.3,18
11091,Produto 11091,878.25,59
11092,Produto 11092,319.83,23
11093,Produto 11093,90.71,92
11094,Produto 11094,815.84,63
11095,Produto 11095,377.9,35
11096,Produto 11096,97.56,51
11097,Produto 11097,730.47,30
11098,Produto 11098,617.06,32
11099,Produto 11099,20.32,6
11100,Produto 11100,844.56,13
11101,Produto 11101,866.25,53
11102,Produto 11102,108.12,51
11103,Produto 11103,544.62,97
11104,Produto 11104,722.2,23
11105,Produto 11105,677.69,70
11106,Produto 11106,728.13,21
11107,Produto 11107,448.53,89
11108,Produto 11108,516.99,19
11109,Produto 11109,718.28,81
11110,Produto 11110,930.2,45
11111,Produto 11111,338.82,15
11112,Produto 11112,182.03,24
11113,Produto 11113,695.17,85
11114,Produto 11114,614.56,88
11115,Produto 11115,800.78,94
11116,Produto 11116,269.88,82
11117,Produto 11117,417.02,52
11118,Produto 11118,155.44,89
11119,Produto 11119,212.65,21
11120,Produto 11120,216.69,61
11121,Produto 11121,156.89,36
11122,Produto 11122,547.66,17
11123,Produto 11123,323.8,74
11124,Produto 11124,121.25,45
11125,Produto 11125,296.76,19
11126,Produto 11126,392.02,5
11127,Produto 11127,183.89,85
11128,Produto 11128,251.34,1
11129,Produto 11129,419.1,62
11130,Produto 11130,240.02,37
11131,Produto 11131,893.94,11
11132,Produto 11132,366.76,18
11133,Produto 11133,441.88,60
11134,Produto 11134,86.6,91
11135,Produto 11135,817.45,44
11136,Produto 11136,889.0,54
11137,Produto 11137,669.86,30
11138,Produto 11138,312.5,62
11139,Produto 11139,576.53,61
11140,Produto 11140,39.55,38
11141,Produto 11141,131.19,17
11142,Produto 11142,814.93,47
11143,Produto 11143,369.9,86
11144,Produto 11144,366.79,83
11145,Produto 11145,945.63,26
11146,Produto 11146,667.27,52
11147,Produto 11147,773.99,93
11148,Produto 11148,928.92,87
11149,Produto 11149,827.47,7
11150,Produto 11150,463.26,56
11151,Produto 11151,996.58,57
11152,Produto 11152,343.07,36
11153,Produto 11153,194.09,8
11154,Produto 11154,110.6,19
11155,Produto 11155,337.17,86
11156,Produto 11156,660.68,41
11157,Produto 11157,975.81,14
11158,Produto 11158,101.25,74
11159,Produto 11159,399.32,44
11160,Produto 11160,433.95,63
11161,Produto 11161,754.22,57
11162,Produto 11162,259.27,94
11163,Produto 11163,914.61,18
11164,Produto 11164,276.01,55
11165,Produto 11165,501.3,47
11166,Produto 11166,11.66,48
11167,Produto 11167,771.26,6
11168,Produto 11168,339.62,33
11169,Produto 11169,198.62,26
11170,Produto 11170,449.86,11
11171,Produto 11171,724.29,49
11172,Produto 11172,450.45,78
11173,Produto 11173,308.38,79
11174,Produto 11174,292.35,24
11175,Produto 11175,712.79,6
11176,Produto 11176,863.3,15
11177,Produto 11177,24.41,75
11178,Produto 11178,154.08,86
11179,Produto 11179,771.9,80
11180,Produto 11180,667.65,96
11181,Produto 11181,546.74,44
11182,Produto 11182,220.28,75
11183,Produto 11183,42.58,100
11184,Produto 11184,161.21,83
11185,Produto 11185,505.57,92
11186,Produto 11186,727.47,1
11187,Produto 11187,747.91,48
11188,Produto 11188,115.81,61
11189,Produto 11189,493.51,94
11190,Produto 11190,337.26,43
11191,Produto 11191,884.09,66
11192,Produto 11192,933.84,58
11193,Produto 11193,658.3,67
11194,Produto 11194,448.4,99
11195,Produto 11195,586.83,14
11196,Produto 11196,410.02,42
11197,Produto 11197,258.75,23
11198,Produto 11198,902.25,44
11199,Produto 11199,658.65,4
11200,Produto 11200,697.74,84
11201,Produto 11201,408.89,70
11202,Produto 11202,865.46,36
11203,Produto 11203,908.6,8
11204,Produto 11204,935.69,23
11205,Produto 11205,867.8,39
11206,Produto 11206,728.72,93
11207,Produto 11207,827.08,79
11208,Produto 11208,656.72,83
11209,Produto 11209,908.08,31
11210,Produto 11210,142.2,91
11211,Produto 11211,755.05,91
11212,Produto 11212,772.98,67
11213,Produto 11213,180.74,11
11214,Produto 11214,304.85,40
11215,Produto 11215,614.62,2
11216,Produto 11216,890.94,54
11217,Produto 11217,390.62,51
11218,Produto 11218,222.56,1
11219,Produto 11219,332.22,88
11220,Produto 11220,607.76,2
11221,Produto 11221,217.17,48
11222,Produto 11222,879.98,55
11223,Produto 11223,206.83,91
11224,Produto 11224,124.5,31
11225,Produto 11225,914.56,90
11226,Produto 11226,382.89,51
11227,Produto 11227,825.35,94
11228,Produto 11228,201.63,98
11229,Produto 11229,183.42,68
11230,Produto 11230,465.04,20
11231,Produto 11231,204.65,93
11232,Produto 11232,87.85,36
11233,Produto 11233,865.0,26
11234,Produto 11234,764.77,5
11235,Produto 11235,491.8,27
11236,Produto 11236,800.55,99
11237,Produto 11237,4.54,13
11238,Produto 11238,861.85,66
11239,Produto 11239,517.33,76
11240,Produto 11240,967.42,65
11241,Produto 11241,774.75,35
11242,Produto 11242,999.42,39
11243,Produto 11243,960.35,65
11244,Produto 11244,160.19,32
11245,Produto 11245,314.21,6
11246,Produto 11246,118.21,7
11247,Produto 11247,751.32,39
11248,Produto 11248,260.29,93
11249,Produto 11249,643.19,74
11250,Produto 11250,234.42,22
11251,Produto 11251,533.44,68
11252,Produto 11252,112.44,97
11253,Produto 11253,168.08,93
11254,Produto 11254,465.33,54
11255,Produto 11255,852.41,63
11256,Produto 11256,638.9,65
11257,Produto 11257,805.45,70
11258,Produto 11258,979.18,53
11259,Produto 11259,837.91,27
11260,Produto 11260,613.79,21
11261,Produto 11261,816.34,14
11262,Produto 11262,111.08,78
11263,Produto 11263,492.0,2
11264,Produto 11264,755.36,9
11265,Produto 11265,213.52,45
11266,Produto 11266,269.73,63
11267,Produto 11267,863.33,58
11268,Produto 11268,497.46,42
11269,Produto 11269,482.17,57
11270,Produto 11270,775.03,44
11271,Produto 11271,940.35,33
11272,Produto 11272,99.31,11
11273,Produto 11273,387.01,87
11274,Produto 11274,721.74,100
11275,Produto 11275,924.28,73
11276,Produto 11276,572.98,76
11277,Produto 11277,151.51,13
11278,Produto 11278,946.37,48
11279,Produto 11279,808.77,70
11280,Produto 11280,430.93,90
11281,Produto 11281,638.35,39
11282,Produto 11282,213.3,45
11283,Produto 11283,481.02,30
11284,Produto 11284,966.1,49
11285,Produto 11285,712.72,90
11286,Produto 11286,556.98,98
11287,Produto 11287,314.4,99
11288,Produto 11288,875.37,35
11289,Produto 11289,871.2,85
11290,Produto 11290,283.74,38
11291,Produto 11291,863.76,20
11292,Produto 11292,360.55,35
11293,Produto 11293,996.32,18
11294,Produto 11294,504.83,60
11295,Produto 11295,728.19,25
11296,Produto 11296,938.65,35
11297,Produto 11297,595.77,45
11298,Produto 11298,198.46,52
11299,Produto 11299,183.32,38
11300,Produto 11300,576.61,81
11301,Produto 11301,439.46,12
11302,Produto 11302,335.04,34
11303,Produto 11303,516.49,24
11304,Produto 11304,763.98,75
11305,Produto 11305,191.87,47
11306,Produto 11306,603.05,66
11307,Produto 11307,534.33,11
11308,Produto 11308,126.38,71
11309,Produto 11309,183.13,97
11310,Produto 11310,513.4,10
11311,Produto 11311,541.92,35
11312,Produto 11312,569.63,34
11313,Produto 11313,954.33,81
11314,Produto 11314,158.96,9
11315,Produto 11315,909.59,25
11316,Produto 11316,890.0,86
11317,Produto 11317,845.09,48
11318,Produto 11318,147.55,9
11319,Produto 11319,395.62,25
11320,Produto 11320,563.82,67
11321,Produto 11321,68.81,26
11322,Produto 11322,322.04,97
11323,Produto 11323,456.7,43
11324,Produto 11324,609.22,59
11325,Produto 11325,180.52,10
11326,Produto 11326,114.44,54
11327,Produto 11327,316.31,16
11328,Produto 11328,982.97,67
11329,Produto 11329,445.64,81
11330,Produto 11330,513.42,60
11331,Produto 11331,375.81,31
11332,Produto 11332,888.58,26
11333,Produto 11333,271.33,40
11334,Produto 11334,227.74,53
11335,Produto 11335,835.91,61
11336,Produto 11336,332.68,25
11337,Produto 11337,922.65,8
11338,Produto 11338,240.81,77
11339,Produto 11339,340.97,29
11340,Produto 11340,56.54,33
11341,Produto 11341,510.23,14
11342,Produto 11342,219.43,3
11343,Produto 11343,310.27,59
11344,Produto 11344,799.23,46
11345,Produto 11345,328.39,70
11346,Produto 11346,120.8,54
11347,Produto 11347,915.19,59
11348,Produto 11348,588.13,32
11349,Produto 11349,415.67,2
11350,Produto 11350,999.71,44
11351,Produto 11351,151.52,47
11352,Produto 11352,929.84,65
11353,Produto 11353,180.38,32
11354,Produto 11354,923.37,11
11355,Produto 11355,518.83,76
11356,Produto 11356,233.39,21
11357,Produto 11357,371.53,60
11358,Produto 11358,7.77,83
11359,Produto 11359,67.45,3
11360,Produto 11360,503.25,92
11361,Produto 11361,932.44,81
11362,Produto 11362,670.61,84
11363,Produto 11363,765.97,4
11364,Produto 11364,478.8,47
11365,Produto 11365,291.95,37
11366,Produto 11366,979.67,24
11367,Produto 11367,2.71,19
11368,Produto 11368,275.81,34
11369,Produto 11369,508.09,56
11370,Produto 11370,621.97,19
11371,Produto 11371,668.52,94
11372,Produto 11372,424.67,2
11373,Produto 11373,419.39,100
11374,Produto 11374,593.98,63
11375,Produto 11375,825.86,32
11376,Produto 11376,358.59,86
11377,Produto 11377,370.75,9
11378,Produto 11378,941.14,67
11379,Produto 11379,960.77,51
11380,Produto 11380,138.22,11
11381,Produto 11381,360.78,53
11382,Produto 11382,445.77,35
11383,Produto 11383,937.8,27
11384,Produto 11384,276.88,76
11385,Produto 11385,927.62,58
11386,Produto 11386,830.86,86
11387,Produto 11387,703.74,28
11388,Produto 11388,206.28,46
11389,Produto 11389,515.98,77
11390,Produto 11390,257.87,84
11391,Produto 11391,839.26,62
11392,Produto 11392,441.72,82
11393,Produto 11393,301.18,76
11394,Produto 11394,45.07,91
11395,Produto 11395,903.51,98
11396,Produto 11396,551.0,38
11397,Produto 11397,97.29,59
11398,Produto 11398,391.89,48
11399,Produto 11399,194.27,48
11400,Produto 11400,484.17,70
11401,Produto 11401,862.15,29
11402,Produto 11402,805.89,7
11403,Produto 11403,838.2,54
11404,Produto 11404,631.29,15
11405,Produto 11405,772.69,78
11406,Produto 11406,717.63,40
11407,Produto 11407,14.73,89
11408,Produto 11408,151.88,16
11409,Produto 11409,85.83,76
11410,Produto 11410,58.88,60
11411,Produto 11411,895.38,38
11412,Produto 11412,819.66,91
11413,Produto 11413,499.86,31
11414,Produto 11414,980.46,100
11415,Produto 11415,510.22,5
11416,Produto 11416,505.78,48
11417,Produto 11417,437.06,66
11418,Produto 11418,176.62,63
11419,Produto 11419,566.84,55
11420,Produto 11420,612.22,72
11421,Produto 11421,613.77,1
11422,Produto 11422,467.23,29
11423,Produto 11423,993.99,53
11424,Produto 11424,609.69,40
11425,Produto 11425,273.65,37
11426,Produto 11426,878.36,4
11427,Produto 11427,777.6,14
11428,Produto 11428,711.08,47
11429,Produto 11429,176.0,57
11430,Produto 11430,121.34,71
11431,Produto 11431,361.28,87
11432,Produto 11432,616.73,100
11433,Produto 11433,973.5,41
11434,Produto 11434,472.22,8
11435,Produto 11435,979.51,27
11436,Produto 11436,242.27,24
11437,Produto 11437,155.85,100
11438,Produto 11438,245.87,72
11439,Produto 11439,129.99,78
11440,Produto 11440,656.84,68
11441,Produto 11441,362.78,58
11442,Produto 11442,327.28,64
11443,Produto 11443,491.15,70
11444,Produto 11444,925.32,50
11445,Produto 11445,101.15,47
11446,Produto 11446,568.07,61
11447,Produto 11447,696.84,32
11448,Produto 11448,128.78,17
11449,Produto 11449,238.64,28
11450,Produto 11450,322.74,28
11451,Produto 11451,917.42,83
11452,Produto 11452,42.29,11
11453,Produto 11453,969.22,43
11454,Produto 11454,997.34,16
11455,Produto 11455,977.79,5
11456,Produto 11456,376.71,73
11457,Produto 11457,768.76,80
11458,Produto 11458,191.01,99
11459,Produto 11459,950.0,93
11460,Produto 11460,650.72,57
11461,Produto 11461,361.79,97
11462,Produto 11462,31.02,92
11463,Produto 11463,963.13,99
11464,Produto 11464,846.22,19
11465,Produto 11465,578.54,52
11466,Produto 11466,910.35,36
11467,Produto 11467,444.3,15
11468,Produto 11468,725.31,94
11469,Produto 11469,170.05,90
11470,Produto 11470,341.31,66
11471,Produto 11471,298.91,9
11472,Produto 11472,160.77,55
11473,Produto 11473,603.81,91
11474,Produto 11474,918.62,99
11475,Produto 11475,972.08,87
11476,Produto 11476,22.21,37
11477,Produto 11477,256.1,11
11478,Produto 11478,489.12,36
11479,Produto 11479,888.87,93
11480,Produto 11480,52.75,24
11481,Produto 11481,19.8,97
11482,Produto 11482,166.82,36
11483,Produto 11483,805.25,88
11484,Produto 11484,633.43,11
11485,Produto 11485,829.24,42
11486,Produto 11486,568.67,46
11487,Produto 11487,418.79,54
11488,Produto 11488,412.22,34
11489,Produto 11489,585.21,10
11490,Produto 11490,633.82,98
11491,Produto 11491,581.12,57
11492,Produto 11492,224.59,52
11493,Produto 11493,380.71,4
11494,Produto 11494,683.89,49
11495,Produto 11495,580.26,76
11496,Produto 11496,371.4,12
11497,Produto 11497,943.79,91
11498,Produto 11498,577.7,46
11499,Produto 11499,353.87,93
11500,Produto 11500,473.37,58
11501,Produto 11501,922.29,33
11502,Produto 11502,250.64,66
11503,Produto 11503,495.19,87
11504,Produto 11504,264.14,90
11505,Produto 11505,596.96,69
11506,Produto 11506,862.35,21
11507,Produto 11507,135.9,20
11508,Produto 11508,23.74,19
11509,Produto 11509,389.02,63
11510,Produto 11510,456.13,18
11511,Produto 11511,699.88,69
11512,Produto 11512,810.93,10
11513,Produto 11513,157.15,52
11514,Produto 11514,388.42,20
11515,Produto 11515,363.41,68
11516,Produto 11516,551.91,70
11517,Produto 11517,492.08,37
11518,Produto 11518,239.81,50
11519,Produto 11519,823.47,27
11520,Produto 11520,108.3,94
11521,Produto 11521,193.71,13
11522,Produto 11522,518.2,94
11523,Produto 11523,607.84,86
11524,Produto 11524,171.4,43
11525,Produto 11525,538.95,15
11526,Produto 11526,531.05,60
11527,Produto 11527,865.58,75
11528,Produto 11528,193.7,27
11529,Produto 11529,466.98,96
11530,Produto 11530,840.59,14
11531,Produto 11531,592.96,4
11532,Produto 11532,804.96,76
11533,Produto 11533,728.71,3
11534,Produto 11534,531.61,67
11535,Produto 11535,95.45,51
11536,Produto 11536,486.95,12
11537,Produto 11537,966.99,6
11538,Produto 11538,521.14,78
11539,Produto 11539,558.98,69
11540,Produto 11540,518.81,44
11541,Produto 11541,172.2,32
11542,Produto 11542,941.71,17
11543,Produto 11543,805.65,42
11544,Produto 11544,758.98,12
11545,Produto 11545,440.69,27
11546,Produto 11546,144.02,60
11547,Produto 11547,564.19,68
11548,Produto 11548,625.32,54
11549,Produto 11549,522.39,43
11550,Produto 11550,4.3,39
11551,Produto 11551,950.63,8
11552,Produto 11552,270.78,11
11553,Produto 11553,676.67,100
11554,Produto 11554,571.26,38
11555,Produto 11555,710.7,1
11556,Produto 11556,941.72,89
11557,Produto 11557,956.57,50
11558,Produto 11558,527.06,78
11559,Produto 11559,857.78,95
11560,Produto 11560,626.15,77
11561,Produto 11561,778.61,64
11562,Produto 11562,902.71,24
11563,Produto 11563,245.34,69
11564,Produto 11564,494.11,90
11565,Produto 11565,115.88,93
11566,Produto 11566,28.23,51
11567,Produto 11567,272.81,70
11568,Produto 11568,612.56,36
11569,Produto 11569,470.02,73
11570,Produto 11570,104.41,81
11571,Produto 11571,369.58,70
11572,Produto 11572,657.78,12
11573,Produto 11573,102.08,11
11574,Produto 11574,537.07,89
11575,Produto 11575,677.99,80
11576,Produto 11576,28.31,99
11577,Produto 11577,61.84,48
11578,Produto 11578,280.19,89
11579,Produto 11579,674.17,24
11580,Produto 11580,971.07,90
11581,Produto 11581,433.43,72
11582,Produto 11582,713.33,10
11583,Produto 11583,322.85,36
11584,Produto 11584,966.42,51
11585,Produto 11585,77.16,55
11586,Produto 11586,847.93,35
11587,Produto 11587,781.5,86
11588,Produto 11588,529.19,45
11589,Produto 11589,557.22,27
11590,Produto 11590,63.44,75
11591,Produto 11591,489.31,47
11592,Produto 11592,141.84,10
11593,Produto 11593,792.95,48
11594,Produto 11594,920.54,74
11595,Produto 11595,453.57,83
11596,Produto 11596,432.85,79
11597,Produto 11597,541.05,81
11598,Produto 11598,535.22,92
11599,Produto 11599,222.65,36
11600,Produto 11600,540.38,92
11601,Produto 11601,188.76,32
11602,Produto 11602,418.68,17
11603,Produto 11603,744.34,53
11604,Produto 11604,748.08,5
11605,Produto 11605,280.57,95
11606,Produto 11606,786.2,73
11607,Produto 11607,445.36,30
11608,Produto 11608,764.53,63
11609,Produto 11609,942.62,50
11610,Produto 11610,355.2,3
11611,Produto 11611,678.49,89
11612,Produto 11612,57.34,73
11613,Produto 11613,178.83,96
11614,Produto 11614,87.66,18
11615,Produto 11615,116.16,94
11616,Produto 11616,610.77,58
11617,Produto 11617,627.3,67
11618,Produto 11618,729.91,29
11619,Produto 11619,237.54,15
11620,Produto 11620,896.36,51
11621,Produto 11621,520.97,32
11622,Produto 11622,54.45,38
11623,Produto 11623,608.81,7
11624,Produto 11624,979.73,22
11625,Produto 11625,154.84,26
11626,Produto 11626,416.95,49
11627,Produto 11627,68.68,23
11628,Produto 11628,692.44,50
11629,Produto 11629,715.14,56
11630,Produto 11630,653.4,87
11631,Produto 11631,558.08,26
11632,Produto 11632,923.95,30
11633,Produto 11633,871.11,3
11634,Produto 11634,468.54,96
11635,Produto 11635,561.42,63
11636,Produto 11636,132.13,42
11637,Produto 11637,630.38,73
11638,Produto 11638,217.4,56
11639,Produto 11639,995.5,52
11640,Produto 11640,519.92,4
11641,Produto 11641,201.3,56
11642,Produto 11642,520.04,21
11643,Produto 11643,32.48,54
11644,Produto 11644,647.18,63
11645,Produto 11645,952.53,13
11646,Produto 11646,32.4,51
11647,Produto 11647,668.72,15
11648,Produto 11648,684.74,5
11649,Produto 11649,198.49,42
11650,Produto 11650,557.33,24
11651,Produto 11651,722.85,98
11652,Produto 11652,706.47,77
11653,Produto 11653,185.02,89
11654,Produto 11654,379.32,57
11655,Produto 11655,631.49,85
11656,Produto 11656,176.22,20
11657,Produto 11657,924.74,53
11658,Produto 11658,604.81,3
11659,Produto 11659,489.45,86
11660,Produto 11660,873.6,45
11661,Produto 11661,134.88,98
11662,Produto 11662,879.92,67
11663,Produto 11663,270.23,72
11664,Produto 11664,929.7,95
11665,Produto 11665,455.4,46
11666,Produto 11666,900.26,69
11667,Produto 11667,159.51,43
11668,Produto 11668,909.39,18
11669,Produto 11669,837.29,44
11670,Produto 11670,283.86,50
11671,Produto 11671,698.08,28
11672,Produto 11672,800.85,68
11673,Produto 11673,895.56,43
11674,Produto 11674,336.33,99
11675,Produto 11675,502.37,26
11676,Produto 11676,476.79,9
11677,Produto 11677,825.07,60
11678,Produto 11678,628.57,56
11679,Produto 11679,440.45,10
11680,Produto 11680,135.19,21
11681,Produto 11681,486.46,48
11682,Produto 11682,980.9,43
11683,Produto 11683,554.11,77
11684,Produto 11684,481.44,63
11685,Produto 11685,428.88,8
11686,Produto 11686,889.34,5
11687,Produto 11687,78.5,60
11688,Produto 11688,982.02,92
11689,Produto 11689,636.28,14
11690,Produto 11690,121.03,97
11691,Produto 11691,552.79,95
11692,Produto 11692,283.16,20
11693,Produto 11693,127.4,81
11694,Produto 11694,172.13,15
11695,Produto 11695,846.1,87
11696,Produto 11696,576.94,80
11697,Produto 11697,942.04,29
11698,Produto 11698,560.04,22
11699,Produto 11699,260.98,58
11700,Produto 11700,992.94,82
11701,Produto 11701,423.92,99
11702,Produto 11702,662.81,28
11703,Produto 11703,68.37,98
11704,Produto 11704,978.39,76
11705,Produto 11705,665.68,6
11706,Produto 11706,13.89,83
11707,Produto 11707,215.45,38
11708,Produto 11708,901.4,10
11709,Produto 11709,886.57,37
11710,Produto 11710,920.36,53
11711,Produto 11711,4.16,52
11712,Produto 11712,65.8,97
11713,Produto 11713,177.15,32
11714,Produto 11714,251.7,24
11715,Produto 11715,443.88,53
11716,Produto 11716,191.36,58
11717,Produto 11717,57.04,73
11718,Produto 11718,871.43,79
11719,Produto 11719,317.39,37
11720,Produto 11720,90.31,18
11721,Produto 11721,498.28,77
11722,Produto 11722,495.7,5
11723,Produto 11723,474.52,9
11724,Produto 11724,744.19,55
11725,Produto 11725,725.04,40
11726,Produto 11726,468.12,59
11727,Produto 11727,18.94,23
11728,Produto 11728,934.93,70
11729,Produto 11729,9.03,63
11730,Produto 11730,257.58,30
11731,Produto 11731,948.33,46
11732,Produto 11732,587.08,35
11733,Produto 11733,332.15,97
11734,Produto 11734,280.75,88
11735,Produto 11735,292.21,18
11736,Produto 11736,781.91,66
11737,Produto 11737,824.73,69
11738,Produto 11738,290.02,92
11739,Produto 11739,998.29,3
11740,Produto 11740,835.78,21
11741,Produto 11741,751.15,69
11742,Produto 11742,813.23,72
11743,Produto 11743,705.54,27
11744,Produto 11744,819.7,92
11745,Produto 11745,582.46,24
11746,Produto 11746,198.89,58
11747,Produto 11747,740.33,56
11748,Produto 11748,131.89,41
11749,Produto 11749,805.41,68
11750,Produto 11750,575.6,89
11751,Produto 11751,197.68,31
11752,Produto 11752,324.28,27
11753,Produto 11753,304.33,67
11754,Produto 11754,31.9,26
11755,Produto 11755,819.48,91
11756,Produto 11756,746.65,32
11757,Produto 11757,894.27,100
11758,Produto 11758,843.57,22
11759,Produto 11759,914.86,49
11760,Produto 11760,316.68,40
11761,Produto 11761,857.59,46
11762,Produto 11762,393.09,41
11763,Produto 11763,475.32,65
11764,Produto 11764,376.24,36
11765,Produto 11765,302.92,46
11766,Produto 11766,603.86,84
11767,Produto 11767,22.24,30
11768,Produto 11768,475.13,37
11769,Produto 11769,851.9,78
11770,Produto 11770,220.6,17
11771,Produto 11771,649.55,35
11772,Produto 11772,9.67,88
11773,Produto 11773,172.38,71
11774,Produto 11774,721.2,91
11775,Produto 11775,784.21,47
11776,Produto 11776,751.61,24
11777,Produto 11777,432.04,25
11778,Produto 11778,253.11,70
11779,Produto 11779,878.7,69
11780,Produto 11780,894.8,2
11781,Produto 11781,110.64,77
11782,Produto 11782,753.31,66
11783,Produto 11783,189.6,47
11784,Produto 11784,382.71,88
11785,Produto 11785,638.08,78
11786,Produto 11786,261.92,91
11787,Produto 11787,479.2,38
11788,Produto 11788,841.58,3
11789,Produto 11789,155.6,22
11790,Produto 11790,951.9,47
11791,Produto 11791,250.69,36
11792,Produto 11792,421.92,75
11793,Produto 11793,607.56,97
11794,Produto 11794,522.8,32
11795,Produto 11795,289.85,5
11796,Produto 11796,712.0,16
11797,Produto 11797,392.04,56
11798,Produto 11798,127.22,89
11799,Produto 11799,613.76,43
11800,Produto 11800,979.86,28
11801,Produto 11801,210.41,65
11802,Produto 11802,503.57,3
11803,Produto 11803,687.58,74
11804,Produto 11804,561.09,74
11805,Produto 11805,238.4,6
11806,Produto 11806,654.82,3
11807,Produto 11807,733.81,2
11808,Produto 11808,278.38,83
11809,Produto 11809,680.78,22
11810,Produto 11810,85.42,57
11811,Produto 11811,246.26,92
11812,Produto 11812,205.36,61
11813,Produto 11813,770.27,60
11814,Produto 11814,351.68,88
11815,Produto 11815,886.0,47
11816,Produto 11816,253.36,69
11817,Produto 11817,559.66,19
